utterance	representation
i am going to the dentistry clinic at 5 pm, when will i arrive?	[IN:GET_ESTIMATED_ARRIVAL i am going to [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the dentistry clinic ] ] ] [SL:DATE_TIME_DEPARTURE at 5 pm ] , when will i arrive ? ]
Walking distance to Timmy's school	[IN:GET_DISTANCE [SL:METHOD_TRAVEL Walking ] distance to [SL:DESTINATION [IN:GET_LOCATION_SCHOOL [SL:CONTACT Timmy ] 's school ] ] ]
If I were to leave at noon, would I be able to drive to Gainesville by midnight?	[IN:GET_ESTIMATED_ARRIVAL If I were to leave [SL:DATE_TIME_DEPARTURE at noon ] , would I be able to [SL:METHOD_TRAVEL drive ] to [SL:DESTINATION Gainesville ] [SL:DATE_TIME_ARRIVAL by midnight ] ? ]
what is the distance between temecula and murrieta	[IN:GET_DISTANCE what is the distance between [SL:SOURCE temecula ] and [SL:DESTINATION murrieta ] ]
How far from Beaverton to Seattle	[IN:GET_DISTANCE How far from [SL:SOURCE Beaverton ] to [SL:DESTINATION Seattle ] ]
If I leave now what time will I get to Ormond Beach?	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:DATE_TIME_DEPARTURE now ] what time will I get to [SL:DESTINATION Ormond Beach ] ? ]
Can I get to Mom's house in a half hour if I leave right away?	[IN:GET_ESTIMATED_ARRIVAL Can I get to [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:TYPE_RELATION Mom ] 's house ] ] [SL:DATE_TIME_ARRIVAL in a half hour ] if I leave [SL:DATE_TIME_DEPARTURE right away ] ? ]
How many mile is it from here to NYC	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE mile ] is it from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] to [SL:DESTINATION NYC ] ]
Avoid construction	[IN:UPDATE_DIRECTIONS Avoid [SL:OBSTRUCTION_AVOID construction ] ]
how far is it from china to japan	[IN:GET_DISTANCE how far is it from [SL:SOURCE china ] to [SL:DESTINATION japan ] ]
How has the opioid addiction effected Middlesex county in Massachusetts?	[IN:UNSUPPORTED How has the opioid addiction effected Middlesex county in Massachusetts ? ]
I need to find the best street directions to the market this Friday	[IN:UNSUPPORTED I need to find the best street directions to the market this Friday ]
What is my expected arrival time to Phoenix airport	[IN:GET_ESTIMATED_ARRIVAL What is my expected arrival time to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP Phoenix airport ] ] ] ]
Can i arrive at Salon Dare by 10:15 using Rt 206 and leaving and 9:45	[IN:GET_ESTIMATED_ARRIVAL Can i arrive at [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP Salon Dare ] ] ] [SL:DATE_TIME_ARRIVAL by 10 : 15 ] using [SL:PATH Rt 206 ] and leaving and [SL:DATE_TIME_DEPARTURE 9 : 45 ] ]
How many nautical miles is it from LA to Hawaii	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE nautical miles ] is it from [SL:SOURCE LA ] to [SL:DESTINATION Hawaii ] ]
How late is Nathan's in Coney Island open	[IN:UNSUPPORTED_EVENT How late is Nathan 's in Coney Island open ]
When should I leave if I want to get to Bradley Airport by 5pm?	[IN:GET_ESTIMATED_DEPARTURE When should I leave if I want to get to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP Bradley Airport ] ] ] [SL:DATE_TIME_ARRIVAL by 5 pm ] ? ]
is there an alternative route that is quicker	[IN:UPDATE_DIRECTIONS is there an alternative route that is quicker ]
how many miles to Kilimanjaro	[IN:GET_DISTANCE how many [SL:UNIT_DISTANCE miles ] to [SL:DESTINATION Kilimanjaro ] ]
how far is nashville from pittsburgh	[IN:GET_DISTANCE how far is [SL:DESTINATION nashville ] from [SL:SOURCE pittsburgh ] ]
how far is it to Russia from the USA	[IN:GET_DISTANCE how far is it to [SL:DESTINATION Russia ] from [SL:SOURCE the USA ] ]
I need to pick up Diane and get the Civic arena before 5:30 when should I leave?	[IN:GET_ESTIMATED_DEPARTURE I need to pick up [SL:WAYPOINT [IN:GET_LOCATION_HOME [SL:CONTACT Diane ] ] ] and get [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP the Civic arena ] ] ] [SL:DATE_TIME_ARRIVAL before 5 : 30 ] when should I leave ? ]
Where can I go sing Karaoke	[IN:UNSUPPORTED Where can I go sing Karaoke ]
Are Disney on Ice tickets available this weekend	[IN:UNSUPPORTED_EVENT Are Disney on Ice tickets available this weekend ]
How far away is Hawaii from California	[IN:GET_DISTANCE How far away is [SL:DESTINATION Hawaii ] from [SL:SOURCE California ] ]
What time will I get to Panama City Beach if I leave here at 2 a.m.	[IN:GET_ESTIMATED_ARRIVAL What time will I get to [SL:DESTINATION Panama City Beach ] if I leave [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] [SL:DATE_TIME_DEPARTURE at 2 a.m ] . ]
If I leave seattle at 9 what time will I get to Beaverton	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:SOURCE seattle ] [SL:DATE_TIME_DEPARTURE at 9 ] what time will I get to [SL:DESTINATION Beaverton ] ]
What's the distance from Hawaii to Virginia	[IN:GET_DISTANCE What 's the distance from [SL:SOURCE Hawaii ] to [SL:DESTINATION Virginia ] ]
What would be the distance between Alabama and Georgia	[IN:GET_DISTANCE What would be the distance between [SL:SOURCE Alabama ] and [SL:DESTINATION Georgia ] ]
What are your plans for this evening with Jill	[IN:UNSUPPORTED What are your plans for this evening with Jill ]
What is the closest theater to me	[IN:UNSUPPORTED What is the closest theater to me ]
What time will i be at my dads if i leave at 4pm	[IN:GET_ESTIMATED_ARRIVAL What time will i be at [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION dads ] ] ] if i leave [SL:DATE_TIME_DEPARTURE at 4 pm ] ]
If I live at 6 AM tomorrow, will I make it to Richmond by noon?	[IN:GET_ESTIMATED_ARRIVAL If I live [SL:DATE_TIME_DEPARTURE at 6 AM tomorrow ] , will I make it to [SL:DESTINATION Richmond ] [SL:DATE_TIME_ARRIVAL by noon ] ? ]
Which of my friends made it to the blues festival last weekend?	[IN:UNSUPPORTED Which of my friends made it to the blues festival last weekend ? ]
best place to have margaritas	[IN:UNSUPPORTED best place to have margaritas ]
What is the distance between Lisbon and Faro	[IN:GET_DISTANCE What is the distance between [SL:SOURCE Lisbon ] and [SL:DESTINATION Faro ] ]
Are there any alternate routes to avoid traffic jams today	[IN:UPDATE_DIRECTIONS Are there any alternate routes to avoid [SL:OBSTRUCTION_AVOID traffic jams ] [SL:DATE_TIME_DEPARTURE today ] ]
Will I get to Seguin by 6pm if I leave now?	[IN:GET_ESTIMATED_ARRIVAL Will I get to [SL:DESTINATION Seguin ] [SL:DATE_TIME_ARRIVAL by 6 pm ] if I leave [SL:DATE_TIME_DEPARTURE now ] ? ]
To get to NC State by noon, when do i need to leave from Sam's	[IN:GET_ESTIMATED_DEPARTURE To get to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP NC State ] ] ] [SL:DATE_TIME_ARRIVAL by noon ] , when do i need to leave from [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT Sam ] ] ] 's ]
How many miles from NY to California	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] from [SL:SOURCE NY ] to [SL:DESTINATION California ] ]
show alternative route home	[IN:UPDATE_DIRECTIONS show alternative route [SL:DESTINATION [IN:GET_LOCATION_HOME home ] ] ]
How far from KC to Santa Fe	[IN:GET_DISTANCE How far from [SL:SOURCE KC ] to [SL:DESTINATION Santa Fe ] ]
Can I get from here to NY city before noon?	[IN:GET_ESTIMATED_ARRIVAL Can I get from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] to [SL:DESTINATION NY city ] [SL:DATE_TIME_ARRIVAL before noon ] ? ]
How far away is Stone Mountain from here?	[IN:GET_DISTANCE How far away is [SL:DESTINATION Stone Mountain ] from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] ? ]
Can I get from here to Tainan before 4pm?	[IN:GET_ESTIMATED_ARRIVAL Can I get from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] to [SL:DESTINATION Tainan ] [SL:DATE_TIME_ARRIVAL before 4 pm ] ? ]
Have any of my friends been to Israel?	[IN:UNSUPPORTED Have any of my friends been to Israel ? ]
What is the distance between Willingboro NJ and Ohio	[IN:GET_DISTANCE What is the distance between [SL:SOURCE Willingboro NJ ] and [SL:DESTINATION Ohio ] ]
Home to movie theater distance	[IN:GET_DISTANCE [SL:SOURCE [IN:GET_LOCATION_HOME Home ] ] to [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION movie theater ] ] ] distance ]
How has construction on 81 adjusted my arrival time	[IN:GET_ESTIMATED_ARRIVAL How has construction on [SL:LOCATION 81 ] adjusted my arrival time ]
will I get to Eugene by 5 if I leave around noon	[IN:GET_ESTIMATED_ARRIVAL will I get to [SL:DESTINATION Eugene ] [SL:DATE_TIME_ARRIVAL by 5 ] if I leave [SL:DATE_TIME_DEPARTURE around noon ] ]
Can I get to Bass Pro Shop by 3pm	[IN:GET_ESTIMATED_ARRIVAL Can I get to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP Bass Pro Shop ] ] ] [SL:DATE_TIME_ARRIVAL by 3 pm ] ]
Duke basketball final 4 tickets for reserve March 2018	[IN:UNSUPPORTED Duke basketball final 4 tickets for reserve March 2018 ]
when is taco bell closing tonight	[IN:UNSUPPORTED when is taco bell closing tonight ]
Are there any nightclubs in Manchester, NH that are open on a Sunday night	[IN:UNSUPPORTED Are there any nightclubs in Manchester , NH that are open on a Sunday night ]
If I leave from Henry's in a half hour, can I make it to the gym by 8?	[IN:GET_ESTIMATED_ARRIVAL If I leave from [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT Henry ] ] ] 's [SL:DATE_TIME_DEPARTURE in a half hour ] , can I make it to [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the gym ] ] ] [SL:DATE_TIME_ARRIVAL by 8 ] ? ]
what is the distance from Cleveland to New York	[IN:GET_DISTANCE what is the distance from [SL:SOURCE Cleveland ] to [SL:DESTINATION New York ] ]
how far is the nearest gas station	[IN:GET_DISTANCE how far is [SL:DESTINATION [IN:GET_LOCATION the [SL:LOCATION_MODIFIER nearest ] [SL:CATEGORY_LOCATION gas station ] ] ] ]
Does Memorial weekend fall on the same weekend as my daughter's birthday?	[IN:UNSUPPORTED Does Memorial weekend fall on the same weekend as my daughter 's birthday ? ]
best place to go and have breakfast near me	[IN:UNSUPPORTED best place to go and have breakfast near me ]
Find me a alternative route home	[IN:UPDATE_DIRECTIONS Find me a alternative route [SL:DESTINATION [IN:GET_LOCATION_HOME home ] ] ]
how many mile between Austin and Dallas	[IN:GET_DISTANCE how many [SL:UNIT_DISTANCE mile ] between [SL:SOURCE Austin ] and [SL:DESTINATION Dallas ] ]
How far is Sacramento from here	[IN:GET_DISTANCE How far is [SL:DESTINATION Sacramento ] from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] ]
how far is kona from hilo	[IN:GET_DISTANCE how far is [SL:DESTINATION kona ] from [SL:SOURCE hilo ] ]
zagat rated dessert places in brooklyn	[IN:UNSUPPORTED zagat rated dessert places in brooklyn ]
Are there toll roads on the way to Lawrence, Kansas?	[IN:GET_INFO_ROUTE Are there [SL:PATH [IN:GET_LOCATION [SL:CATEGORY_LOCATION toll roads ] ] ] on the way to [SL:DESTINATION Lawrence , Kansas ] ? ]
seafood restaurants menu in boca raton	[IN:UNSUPPORTED seafood restaurants menu in boca raton ]
How many miles is it from here to Niagara Falls, Canada	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] is it from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] to [SL:DESTINATION Niagara Falls , Canada ] ]
restaurants with discount in peoria this weekend	[IN:UNSUPPORTED restaurants with discount in peoria this weekend ]
Pet friendly restaurants near me	[IN:UNSUPPORTED Pet friendly restaurants near me ]
Field Target Ranges near me	[IN:UNSUPPORTED_EVENT Field Target Ranges near me ]
how many miles is tallahassee to coral springs	[IN:GET_DISTANCE how many [SL:UNIT_DISTANCE miles ] is [SL:SOURCE tallahassee ] to [SL:DESTINATION coral springs ] ]
Distance to Cairo in miles	[IN:GET_DISTANCE Distance to [SL:DESTINATION Cairo ] in [SL:UNIT_DISTANCE miles ] ]
Has Kerry return from her 2 week vacation in Spain?	[IN:UNSUPPORTED Has Kerry return from her 2 week vacation in Spain ? ]
How many days until Thanksgiving?	[IN:UNSUPPORTED_EVENT How many days until Thanksgiving ? ]
What is the distance in miles between here and New York City	[IN:GET_DISTANCE What is the distance in [SL:UNIT_DISTANCE miles ] between [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] and [SL:DESTINATION New York City ] ]
Can I get from here to walmart before noon?	[IN:GET_ESTIMATED_ARRIVAL Can I get from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP walmart ] ] ] [SL:DATE_TIME_ARRIVAL before noon ] ? ]
About what time will it be if I take the freeway to Jacky's house right now?	[IN:GET_ESTIMATED_ARRIVAL About what time will it be if I take [SL:PATH [IN:GET_LOCATION [SL:CATEGORY_LOCATION the freeway ] ] ] to [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT Jacky ] 's house ] ] [SL:DATE_TIME_DEPARTURE right now ] ? ]
What is the nearest metro station to the national museum ?	[IN:GET_LOCATION What is the [SL:LOCATION_MODIFIER nearest ] [SL:CATEGORY_LOCATION metro station ] [SL:LOCATION_MODIFIER [IN:GET_LOCATION [SL:SEARCH_RADIUS to ] [SL:POINT_ON_MAP the national museum ] ] ] ? ]
what is the distance between Best Buy in Levittown and the one in Westbury	[IN:GET_DISTANCE what is the distance between [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP Best Buy ] in [SL:LOCATION_MODIFIER Levittown ] ] ] and [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP the one ] in [SL:LOCATION_MODIFIER Westbury ] ] ] ]
How many miles is it from LA to Lexington, KY	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] is it from [SL:SOURCE LA ] to [SL:DESTINATION Lexington , KY ] ]
When do I need to leave to make it to dad's house by 1:30?	[IN:GET_ESTIMATED_DEPARTURE When do I need to leave to make it to [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:TYPE_RELATION dad ] 's house ] ] [SL:DATE_TIME_ARRIVAL by 1 : 30 ] ? ]
Distance from home to Venice beach	[IN:GET_DISTANCE Distance from [SL:SOURCE [IN:GET_LOCATION_HOME home ] ] to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP Venice beach ] ] ] ]
How many miles in Columbia from Greenville	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] in [SL:DESTINATION Columbia ] from [SL:SOURCE Greenville ] ]
if i leave at 10 will i arrive at the airport before 12	[IN:GET_ESTIMATED_ARRIVAL if i leave [SL:DATE_TIME_DEPARTURE at 10 ] will i arrive at [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the airport ] ] ] [SL:DATE_TIME_ARRIVAL before 12 ] ]
If I leave now, will I get to to Andy's house by 6:30 PM?	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:DATE_TIME_DEPARTURE now ] , will I get to to [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT Andy ] 's house ] ] [SL:DATE_TIME_ARRIVAL by 6 : 30 PM ] ? ]
whats the driving distance between my house and the food lion store in leonardtown, md	[IN:GET_DISTANCE whats the [SL:METHOD_TRAVEL driving ] distance between [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT my ] house ] ] and [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP the food lion store ] in [SL:LOCATION_MODIFIER leonardtown , md ] ] ] ]
Where is the next exit	[IN:GET_LOCATION Where is the [SL:LOCATION_MODIFIER next ] [SL:CATEGORY_LOCATION exit ] ]
Distance between east coast to west coast	[IN:GET_DISTANCE Distance between [SL:SOURCE east coast ] to [SL:DESTINATION west coast ] ]
What is the best sushi spot	[IN:UNSUPPORTED What is the best sushi spot ]
What is my ETA for home	[IN:GET_ESTIMATED_ARRIVAL What is my ETA for [SL:DESTINATION [IN:GET_LOCATION_HOME home ] ] ]
What time eill I get home if I leave now?	[IN:GET_ESTIMATED_ARRIVAL What time eill I get [SL:DESTINATION [IN:GET_LOCATION_HOME home ] ] if I leave [SL:DATE_TIME_DEPARTURE now ] ? ]
If I leave my house at 8pm, what time will I arrive at the Green Leafe?	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT my ] house ] ] [SL:DATE_TIME_DEPARTURE at 8 pm ] , what time will I arrive at [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP the Green Leafe ] ] ] ? ]
How many miles between my location and NY	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] between [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER my location ] ] ] and [SL:DESTINATION NY ] ]
Family friendly movie theaters near me	[IN:UNSUPPORTED_EVENT Family friendly movie theaters near me ]
Find me a country bar	[IN:UNSUPPORTED_EVENT Find me a country bar ]
How far is it between Tomah and Sparta	[IN:GET_DISTANCE How far is it between [SL:SOURCE Tomah ] and [SL:DESTINATION Sparta ] ]
What time should I leave Portland mall to make it the airport by 7pm?	[IN:GET_ESTIMATED_DEPARTURE What time should I leave [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP Portland mall ] ] ] to make it [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the airport ] ] ] [SL:DATE_TIME_ARRIVAL by 7 pm ] ? ]
Where can I eat Thai food on Christmas Day	[IN:UNSUPPORTED Where can I eat Thai food on Christmas Day ]
how far is charlottesville from d.c	[IN:GET_DISTANCE how far is [SL:DESTINATION charlottesville ] from [SL:SOURCE d.c ] ]
Is there an alternate route to avoid the traffic on I-15	[IN:UPDATE_DIRECTIONS Is there an alternate route to avoid [SL:OBSTRUCTION_AVOID the traffic ] on I - 15 ]
How many miles between Tucson and Phoenix	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] between [SL:SOURCE Tucson ] and [SL:DESTINATION Phoenix ] ]
Can I get home on time	[IN:GET_ESTIMATED_ARRIVAL Can I get [SL:DESTINATION [IN:GET_LOCATION_HOME home ] ] on time ]
How far is it from San Antonio to McAllen	[IN:GET_DISTANCE How far is it from [SL:SOURCE San Antonio ] to [SL:DESTINATION McAllen ] ]
can i get to downtown LA by 12pm	[IN:GET_ESTIMATED_ARRIVAL can i get to [SL:DESTINATION downtown LA ] [SL:DATE_TIME_ARRIVAL by 12 pm ] ]
I'm leaving for Fenway right now, when should I get there?	[IN:GET_ESTIMATED_ARRIVAL I'm leaving for [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP Fenway ] ] ] [SL:DATE_TIME_DEPARTURE right now ] , when should I get there ? ]
Holiday shows in channel 62 today	[IN:UNSUPPORTED_EVENT Holiday shows in channel 62 today ]
What's the distance between NYC and Long Island	[IN:GET_DISTANCE What 's the distance between [SL:SOURCE NYC ] and [SL:DESTINATION Long Island ] ]
If i leave at 7 am in Tulsa, when will i get to OKC?	[IN:GET_ESTIMATED_ARRIVAL If i leave [SL:DATE_TIME_DEPARTURE at 7 am ] in [SL:SOURCE Tulsa ] , when will i get to [SL:DESTINATION OKC ] ? ]
Event halls open for 9am tomorrow	[IN:UNSUPPORTED_EVENT Event halls open for 9 am tomorrow ]
Will the traffic on Stelton Rd make me late to the doctors at 4 pm?	[IN:GET_ESTIMATED_ARRIVAL Will the traffic on [SL:LOCATION Stelton Rd ] make me late to [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the doctors ] ] ] [SL:DATE_TIME_ARRIVAL at 4 pm ] ? ]
is there a shorter way to home	[IN:UPDATE_DIRECTIONS is there a shorter way to [SL:DESTINATION [IN:GET_LOCATION_HOME home ] ] ]
Romantic restaurants on Lexington avenue	[IN:UNSUPPORTED Romantic restaurants on Lexington avenue ]
Show me how to put air in the tire?	[IN:UNSUPPORTED Show me how to put air in the tire ? ]
what is the distance between new york city and albany new york	[IN:GET_DISTANCE what is the distance between [SL:SOURCE new york city ] and [SL:DESTINATION albany new york ] ]
If I leave now, when will I get to Atlanta	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:DATE_TIME_DEPARTURE now ] , when will I get to [SL:DESTINATION Atlanta ] ]
I would like to take the train to Chicago, if I take the cab at 2 pm will I make it to the train station by 2:30 pm?	[IN:GET_ESTIMATED_ARRIVAL I would like to take the train to Chicago , if I take the [SL:METHOD_TRAVEL cab ] [SL:DATE_TIME_DEPARTURE at 2 pm ] will I make it to [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the train station ] ] ] [SL:DATE_TIME_ARRIVAL by 2 : 30 pm ] ? ]
What time should I leave Eric's place to be in Anaheim by 8:30 pm?	[IN:GET_ESTIMATED_DEPARTURE What time should I leave [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT Eric ] 's place ] ] to be in [SL:DESTINATION Anaheim ] [SL:DATE_TIME_ARRIVAL by 8 : 30 pm ] ? ]
How do I book tickets for Dan Fogelberg	[IN:UNSUPPORTED_EVENT How do I book tickets for Dan Fogelberg ]
How far is Wyoming from here	[IN:GET_DISTANCE How far is [SL:DESTINATION Wyoming ] from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] ]
Review the menu items for our potluck this Sunday	[IN:UNSUPPORTED Review the menu items for our potluck this Sunday ]
change my home address to	[IN:UNSUPPORTED change my home address to ]
best place to club in town	[IN:UNSUPPORTED best place to club in town ]
Build-a-bear workshops in Charlotte	[IN:UNSUPPORTED Build - a - bear workshops in Charlotte ]
Can I get to Sally's before midnight?	[IN:GET_ESTIMATED_ARRIVAL Can I get to [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT Sally ] ] ] 's [SL:DATE_TIME_ARRIVAL before midnight ] ? ]
Can I get from here to Columbus, OH, before 4 p.m.?	[IN:GET_ESTIMATED_ARRIVAL Can I get from [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER here ] ] ] to [SL:DESTINATION Columbus , OH ] , [SL:DATE_TIME_ARRIVAL before 4 p.m . ] ? ]
What is the distance in miles from Rockford to Chicago	[IN:GET_DISTANCE What is the distance in [SL:UNIT_DISTANCE miles ] from [SL:SOURCE Rockford ] to [SL:DESTINATION Chicago ] ]
how much cash do I have in my wallet	[IN:UNSUPPORTED how much cash do I have in my wallet ]
play the songs for moenia at 8 am to wake me up	[IN:UNSUPPORTED play the songs for moenia at 8 am to wake me up ]
How many miles to Palm Beach	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] to [SL:DESTINATION Palm Beach ] ]
what time should I leave to arrive to the Children's Hospital by 9am	[IN:GET_ESTIMATED_DEPARTURE what time should I leave to arrive to [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP the Children 's Hospital ] ] ] [SL:DATE_TIME_ARRIVAL by 9 am ] ]
What is the distance between America and North Korea	[IN:GET_DISTANCE What is the distance between [SL:SOURCE America ] and [SL:DESTINATION North Korea ] ]
what other road can I take	[IN:UPDATE_DIRECTIONS what other road can I take ]
What time should I leave to get to the movie theater by 8:30?	[IN:GET_ESTIMATED_DEPARTURE What time should I leave to get to [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION the movie theater ] ] ] [SL:DATE_TIME_ARRIVAL by 8 : 30 ] ? ]
what time can I visit the hospital tomorrow	[IN:UNSUPPORTED_EVENT what time can I visit the hospital tomorrow ]
What is the distance between Washington D.C. to London	[IN:GET_DISTANCE What is the distance between [SL:SOURCE Washington D.C . ] to [SL:DESTINATION London ] ]
How many miles is it from my house to Waukee	[IN:GET_DISTANCE How many [SL:UNIT_DISTANCE miles ] is it from [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT my ] house ] ] to [SL:DESTINATION Waukee ] ]
I'm leaving now, what time will I be a Karin's house?	[IN:GET_ESTIMATED_ARRIVAL I'm leaving [SL:DATE_TIME_DEPARTURE now ] , what time will I be a [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT Karin ] 's house ] ] ? ]
What time will I likely arrive at school if I were to leave right now?	[IN:GET_ESTIMATED_ARRIVAL What time will I likely arrive at [SL:DESTINATION [IN:GET_LOCATION_SCHOOL school ] ] if I were to leave [SL:DATE_TIME_DEPARTURE right now ] ? ]
how many miles are between cleveland and miami	[IN:GET_DISTANCE how many [SL:UNIT_DISTANCE miles ] are between [SL:SOURCE cleveland ] and [SL:DESTINATION miami ] ]
what's the distance between houston and dallas	[IN:GET_DISTANCE what 's the distance between [SL:SOURCE houston ] and [SL:DESTINATION dallas ] ]
can you tell me if there is ice on my mother's house 5 pm?	[IN:UNSUPPORTED can you tell me if there is ice on my mother 's house 5 pm ? ]
What time can i catch the sunset by mrytle beach	[IN:UNSUPPORTED What time can i catch the sunset by mrytle beach ]
event planner that is available 9 am in 2 weeks	[IN:UNSUPPORTED_EVENT event planner that is available 9 am in 2 weeks ]
What is the driving distance from Atlanta to New Orleans	[IN:GET_DISTANCE What is the [SL:METHOD_TRAVEL driving ] distance from [SL:SOURCE Atlanta ] to [SL:DESTINATION New Orleans ] ]
Send me an alternate route with less traffic	[IN:UPDATE_DIRECTIONS Send me an alternate route with less [SL:OBSTRUCTION_AVOID traffic ] ]
If I leave Cairo at 8 pm, when will I get to Giza?	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:SOURCE Cairo ] [SL:DATE_TIME_DEPARTURE at 8 pm ] , when will I get to [SL:DESTINATION Giza ] ? ]
If I leave my house at 8:30 what time will I reach Macy's?	[IN:GET_ESTIMATED_ARRIVAL If I leave [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT my ] house ] ] [SL:DATE_TIME_DEPARTURE at 8 : 30 ] what time will I reach [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP Macy 's ] ] ] ? ]
what is firework for	[IN:UNSUPPORTED what is firework for ]
Is it okay to take the kids to see Wicked	[IN:UNSUPPORTED Is it okay to take the kids to see Wicked ]
If i left my home at 3pm, at what time would  I arrive at UT Austin if I took I-35	[IN:GET_ESTIMATED_ARRIVAL If i left [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT my ] home ] ] [SL:DATE_TIME_DEPARTURE at 3 pm ] , at what time would I arrive at [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP UT Austin ] ] ] if I took [SL:PATH I - 35 ] ]
What's the distance between Seattle and New York	[IN:GET_DISTANCE What 's the distance between [SL:SOURCE Seattle ] and [SL:DESTINATION New York ] ]
What is the distance between Los Angeles and New York	[IN:GET_DISTANCE What is the distance between [SL:SOURCE Los Angeles ] and [SL:DESTINATION New York ] ]
Where is the closest highway	[IN:GET_LOCATION Where is the [SL:LOCATION_MODIFIER closest ] [SL:CATEGORY_LOCATION highway ] ]
Any Strip Clubs open in Miami late night	[IN:UNSUPPORTED Any Strip Clubs open in Miami late night ]
